nome,tipo,latitude,longitude
Colégio INEI,Escola,-15.841944,-47.88
Cooplem Idiomas,Escola,-15.7558357,-47.8943113
Educandário Eurípedes Barsanulfo - EEB,Escola,-15.6550292,-47.7967346
Escola Agrotécnica Federal de Brasília,Escola,-15.6577056,-47.6940806
Escola Canarinho,Escola,-15.8054734,-47.9045441
Escola Cantinho Magico,Escola,-15.8283782,-47.8117873
Escola Classe 02 do Arapoanga,Escola,-15.6361111,-47.6322222
Escola Classe 10 - Planaltina,Escola,-15.6029933,-47.6536444
Escola Classe 106 Norte,Escola,-15.7692839,-47.8839733
Escola Classe 107 Sul,Escola,-15.8152956,-47.90119
Escola Classe 108 Sul,Escola,-15.8170478,-47.9032166
Escola Classe 304 Norte,Escola,-15.7763018,-47.8862384
Escola Classe 308 Sul,Escola,-15.8136256,-47.9052186
Escola Classe 314 Sul,Escola,-15.8267729,-47.9217906
Escola Classe 416 Sul,Escola,-15.8378383,-47.9219171
Escola Classe SQS 111,Escola,-15.8232371,-47.9119572
Escola Classe,Escola,-15.8745589,-47.8405302
Escola de Governo do Distrito Federal - EGOV,Escola,-15.780804,-47.912685
Escola Nossa Senhora de Fátima,Escola,-15.8062212,-47.9067235
Escola das Nações 2,Escola,-15.852778,-47.847222
Escola das Nações,Escola,-15.853889,-47.850556
Escola de Voo Livre,Escola,-15.8380742,-47.8646001
Fundação de Ensino e Pesquisa em Ciências da Saúde,Escola,-15.7850062,-47.8867342
Indi Bibia,Escola,-15.729933,-47.862639
Infllux Idiomas,Escola,-15.868533,-47.8211382
Colégio La Salle,Escola,-15.6513733,-47.7816368
Luduvico Pavoni,Escola,-15.7631953,-47.8950202
Number One Idiomas,Escola,-15.857895,-47.831413
Olimpo,Escola,-15.8087146,-47.9129767
Seminário Presbiteriano de Brasília,Escola,-15.8044872,-47.9047197
Sociedade Teosófica de Brasília,Escola,-15.8121548,-47.8849373
UNIDF,Escola,-15.8022407,-47.9004287
UPIS - Hospital Veterinário - Planaltina,Escola,-15.5791073,-47.7295952
UPIS,Escola,-15.5799917,-47.7287736
UnB - CTIC - Centro Tecnológico da Informática e Construção,Escola,-15.7732725,-47.8668075
UnB - Emporio ambiental,Escola,-15.760308,-47.873554
UnB - NTI - Núcleo de Tecnologia da Informação,Escola,-15.7734117,-47.8669524
Núcleo de Dança,Escola,-15.7652939,-47.8717605
UnB - OCA 2,Escola,-15.767088,-47.870226
Wizard - inglês e Espanhol,Escola,-15.8533736,-47.948056
Wizard Idiomas,Escola,-15.868669,-47.8212286
Clínica São Marcos,Clínica,-15.8155117,-48.0631254
Instituto Ortopédico Taguatinga,Clínica,-15.8135039,-48.064172
Faculdade SENAC Taguatinga,Universidade,-15.7961617,-48.0574913
Hospital Santa Paula,Hospital,-15.616225,-47.6548139
Centro de Recuperação Leão de Judá,Hospital,-15.655,-47.6694444
Centro de Saúde 01 de Taguatinga,Hospital,-15.7954898,-48.0594312
UBS 1 - Itapoã,Clínica,-15.7402115,-47.7631732
Centro de Saúde 1 - Itapoã,Hospital,-15.745556,-47.769722
Unidade Básica de Saúde Nº 03 de Taguatinga,Clínica,-15.8329887,-48.0774689
Hospital Militar de Área de Brasília,Hospital,-15.7725624,-47.9300092
Hospital Regional de Planaltina,Hospital,-15.6247833,-47.6527389
Posto de Saúde - Sobradinho 2,Clínica,-15.6445761,-47.8244591
Centro de Saúde 01 de Planaltina,Clínica,-15.6250361,-47.650975
Unidade Básica de Saúde 1,Clínica,-15.6505281,-47.7820789
Posto de Saúde 10,Clínica,-15.725866,-47.8739
Posto de Saúde 2 de São Sebastião,Clínica,-15.907913,-47.778059
Posto de Saúde N° 02 de Sobradinho,Clínica,-15.6544912,-47.8095325
Unidade IOLB Instituto Odontológico,Hospital,-15.6707667,-47.8452389
Unidade Mista de Saúde - UMSS,Hospital,-15.90243,-47.772581
Centro Clínico Metrópolis,Clínica,-15.8210322,-47.8939734
Biosphere Health Center,Clínica,-15.7361068,-47.8942008
COOPLEM,Escola,-15.8143677,-48.0980469
Clínica IBED,Clínica,-15.7375157,-47.8978043
Mansão Vida,Hospital,-15.9338889,-48.2291667
Visão Institutos Oftalmológicos INBOL-ISOB,Clínica,-15.8226945,-48.0655787
Visão Institutos Oftalmológicos INBOL-ISOB,Clínica,-15.8234361,-47.9264537
Laboratório Sabin,UBS/Médico,-15.8144693,-48.0978847
Laboratório Sabin,Clínica,-15.8158729,-48.1013185
Ideal,Escola,-15.8014585,-48.0633524
Cantinho do Girassol,Escola,-15.8050067,-48.1038484
PAI - Pronto Atendimento Infantil,Hospital,-15.8279145,-47.9285471
Hemoclínica,Clínica,-15.8277442,-47.9283164
Educandário José de Alencar,Escola,-15.7545838,-47.896793
Cultura Inglesa,Escola,-15.7568857,-47.8915757
Laboratório Sabin,Clínica,-15.75714,-47.8935965
BSB Musical,Escola,-15.7517793,-47.8972958
FISK,Escola,-15.8558483,-48.0391151
C.C.A.A.,Escola,-15.5461732,-47.3410738
ITAC - Instituto Técnico de Aviação Civil,Escola,-15.780827,-47.8899709
Clinique,Clínica,-15.8233399,-47.9263729
Sem nome,Clínica,-16.0133071,-48.012726
Wizard,Escola,-15.7772176,-47.8790491
Castelinho Pim,Escola,-15.836548,-47.9717408
Natural English,Escola,-15.7447813,-47.8870335
DeRose Method Sudoeste,Escola,-15.8009087,-47.9264622
Creche Mãe Lurdes,Escola,-15.8084444,-48.1125261
Wise Explorer,Escola,-15.7742532,-47.885612
Professor Filemon,Escola,-15.7806989,-47.8881207
Sem nome,Hospital,-15.5643326,-47.3366213
SENAC - Jessé Freire,Escola,-15.7962275,-47.890141
Brasas English Course,Escola,-15.7526913,-47.8892052
Laboratório Pasteur,Clínica,-15.7852225,-47.8848246
Magister,Escola,-15.7810153,-47.8846428
Colinho de Mãe,Escola,-15.7698782,-47.891203
Escola Teatral Confins-Artísticos,Escola,-15.756197,-47.8941769
Escola Mãe da Divina Providência,Escola,-15.8004217,-47.9403257
Creche Pró-Infância,Escola,-15.7966406,-47.9390417
United,Escola,-15.7508063,-47.8845487
Oficina do Saber,Escola,-15.8159456,-47.9883973
Aliança Francesa,Escola,-15.8393498,-48.0178032
CIESB - Centro Internacional Evangélico Suíço-Brasileiro,Escola,-15.8443803,-48.030933
Colégio Kairós,Escola,-15.8550457,-48.0317464
Kumon,Escola,-15.7450176,-47.8876103
You Move,Escola,-15.7577129,-47.8943021
Estação Experimental de Biologia,Universidade,-15.736371,-47.8834366
Sem nome,Escola,-15.8663712,-47.9631406
Prime Excelência Médica,Clínica,-15.8225766,-48.0661397
Curso de Italiano Dante Alighieri,Escola,-15.7524959,-47.894924
Cultura Inglesa,Escola,-15.7763398,-47.8883207
Empório Cultural,Escola,-15.7513644,-47.8959442
Karashima,Escola,-15.8231028,-47.9178094
Instituto de Artes Daniela Jorge,Escola,-15.7510834,-47.8854008
Musiflex,Escola,-15.7633981,-47.8915962
Aviãozinho de Papel,Escola,-15.8364346,-47.9707036
Sem nome,Escola,-15.8028104,-47.8108418
Wise Up,Escola,-15.7768953,-47.8885421
